date,open,high,low,close,volume
2018-01-02,312.0,322.1099,311.0,320.53,4352241
2018-01-03,321.0,325.25,315.55,317.25,4521527
2018-01-04,312.87,318.55,305.68,314.62,9946304
2018-01-05,316.62,317.24,312.0,316.58,4591180
2018-01-08,316.0,337.0199,315.5,336.41,9859435
2018-01-09,335.16,338.8,327.405,333.69,7146631
2018-01-10,332.2,337.0,330.0,334.8,4309926
2018-01-11,335.24,344.8099,333.26,337.95,6645484
2018-01-12,338.63,340.41,333.67,336.22,4825059
2018-01-16,337.54,345.0,334.8,340.06,6474251
2018-01-17,340.47,349.0,339.75,347.16,7103505
2018-01-18,345.67,352.3,343.74,344.57,5685845
2018-01-19,345.0,350.5899,342.6,350.02,4888303
2018-01-22,349.4,357.83,349.2,351.56,6210360
2018-01-23,360.0,360.5,351.0,352.79,5465414
2018-01-24,354.58,354.75,343.52,345.89,5287478
2018-01-25,348.27,349.2,336.4,337.64,6740303
2018-01-26,341.5,344.0,335.71,342.85,4539356
2018-01-29,339.85,350.85,338.28,349.53,4747149
2018-01-30,345.14,348.27,342.17,345.82,4717700
2018-01-31,347.51,356.19,345.19,354.31,6214069
2018-02-01,351.0,359.66,348.63,349.25,4197687
2018-02-02,348.44,351.95,340.51,343.75,3704836
2018-02-05,337.97,344.47,333.0,333.13,4464147
2018-02-06,325.21,336.22,323.5,333.97,5088438
2018-02-07,338.99,346.0,335.66,345.0,6969239
2018-02-08,343.31,348.62,314.6,315.23,10314573
2018-02-09,319.93,320.9845,294.76,310.42,12933721
2018-02-12,316.13,318.08,306.25,315.73,6227822
2018-02-13,315.02,324.19,312.5105,323.66,4560231
2018-02-14,320.84,326.17,318.52,322.31,3950743
2018-02-15,324.5,334.12,322.4,334.065,5912917
2018-02-16,332.5,343.12,331.64,335.49,5642637
2018-02-20,334.47,340.84,331.5,334.77,4009435
2018-02-21,336.03,339.6929,333.17,333.3,3219649
2018-02-22,335.53,347.44,334.7501,346.17,6969808
2018-02-23,347.83,354.99,347.1,352.05,5817387
2018-02-26,353.5,359.0,352.355,357.42,4339985
2018-02-27,356.25,359.99,350.01,350.99,4797419
2018-02-28,352.57,355.24,342.22,343.06,6069658
2018-03-01,345.01,348.67,330.07,330.93,6885601
2018-03-02,326.98,335.22,322.97,335.12,5092829
2018-03-05,332.39,337.75,329.2929,333.35,3823769
2018-03-06,333.75,336.37,327.03,328.2,4285744
2018-03-07,325.44,332.5,321.74,332.3,5007297
2018-03-08,332.86,333.3,326.274,329.1,3566244
2018-03-09,324.1,328.49,322.37,327.17,5506764
2018-03-12,328.61,347.21,326.5,345.51,8264035
